Nombre,Apellido,Correo,Telefono,Ciudad
Sofía,Ruiz,sofía.ruiz@gmail.com,3062852055,Medellín
Pedro,Rodríguez,pedro.rodríguez@yahoo.com,3030542678,Cúcuta
Pedro,Ruiz,pedro.ruiz@utb.edu.co,3066583181,Cartagena
María,Ruiz,maría.ruiz@hotmail.com,3112139650,Cúcuta
Luis,Torres,luis.torres@gmail.com,3071380359,Barranquilla
Ana,Fernández,ana.fernández@hotmail.com,3117674963,Pereira
María,Fernández,maría.fernández@gmail.com,3034692289,Cartagena
Javier,Ruiz,javier.ruiz@outlook.com,3093612216,Barranquilla
María,Gómez,maría.gómez@utb.edu.co,3039253175,Cúcuta
Sofía,Díaz,sofía.díaz@hotmail.com,3041878624,Bogotá
Javier,Gómez,javier.gómez@yahoo.com,3192693449,Pereira
Carlos,Torres,carlos.torres@hotmail.com,3030799716,Cúcuta
Carlos,Torres,carlos.torres@outlook.com,3081317430,Cúcuta
Juan,Rodríguez,juan.rodríguez@yahoo.com,3116024697,Bucaramanga
María,Gómez,maría.gómez@gmail.com,3061959473,Cartagena
Andrea,Pérez,andrea.pérez@hotmail.com,3187158929,Medellín
Javier,López,javier.lópez@gmail.com,3198467228,Manizales
Luis,Fernández,luis.fernández@outlook.com,3069115889,Bogotá
Javier,García,javier.garcía@hotmail.com,3035997066,Cartagena
María,Díaz,maría.díaz@gmail.com,3082021137,Manizales
Sofía,Fernández,sofía.fernández@hotmail.com,3129798307,Bucaramanga
Ana,Díaz,ana.díaz@utb.edu.co,3082301179,Cúcuta
Pedro,García,pedro.garcía@yahoo.com,3049984459,Santa Marta
Juan,García,juan.garcía@yahoo.com,3151511561,Santa Marta
Luis,García,luis.garcía@yahoo.com,3161504947,Bucaramanga
Patricia,Pérez,patricia.pérez@outlook.com,3029153961,Cartagena
Javier,Martínez,javier.martínez@hotmail.com,3188145631,Santa Marta
María,Martínez,maría.martínez@yahoo.com,3175491740,Pereira
Andrea,Martínez,andrea.martínez@outlook.com,3047646174,Cartagena
Juan,Gómez,juan.gómez@yahoo.com,3093504667,Pereira
Sofía,Martínez,sofía.martínez@hotmail.com,3197368197,Cartagena
Andrea,Martínez,andrea.martínez@hotmail.com,3057543981,Cúcuta
Pedro,Díaz,pedro.díaz@hotmail.com,3149808733,Manizales
Pedro,Díaz,pedro.díaz@gmail.com,3055123903,Barranquilla
María,Martínez,maría.martínez@hotmail.com,3022367656,Cúcuta
Andrea,Gómez,andrea.gómez@outlook.com,3158861719,Medellín
Andrea,Ruiz,andrea.ruiz@hotmail.com,3025534529,Cartagena
María,Ruiz,maría.ruiz@yahoo.com,3031915554,Medellín
Sofía,Martínez,sofía.martínez@utb.edu.co,3180499068,Cali
Juan,Díaz,juan.díaz@utb.edu.co,3049365368,Bucaramanga
Luis,Fernández,luis.fernández@yahoo.com,3137635872,Medellín
Juan,Gómez,juan.gómez@hotmail.com,3208972053,Cartagena
Juan,Torres,juan.torres@outlook.com,3178804091,Bogotá
Andrea,Pérez,andrea.pérez@yahoo.com,3123449032,Cartagena
Patricia,Torres,patricia.torres@outlook.com,3174820352,Manizales
Sofía,Torres,sofía.torres@yahoo.com,3092752596,Medellín
Pedro,Ruiz,pedro.ruiz@hotmail.com,3129808347,Bucaramanga
Sofía,García,sofía.garcía@yahoo.com,3034255485,Barranquilla
Juan,Martínez,juan.martínez@outlook.com,3122077084,Barranquilla
Juan,López,juan.lópez@hotmail.com,3103125334,Cartagena
